Age,Fnlwgt,Education_num,Capital-gain,WorkClass_cat,Marital_status_cat,occupation_cat,Relationship_cat,Race_cat,Sex_cat
39,0.04430189755640374,13,2174,7.0,4,1.0,1,4,1
50,0.04823759525135491,13,0,6.0,2,4.0,0,4,1
38,0.1381134458917972,9,0,4.0,0,6.0,1,4,1
53,0.1510683093139186,7,0,4.0,2,6.0,0,2,1
28,0.2214884340066014,13,0,4.0,2,10.0,5,2,0
37,0.18493160918759594,14,0,4.0,2,4.0,5,4,0
49,0.10044824167017563,5,0,4.0,3,8.0,1,2,0
52,0.1340358050012904,9,0,6.0,2,4.0,0,4,1
31,0.022748943915458904,14,14084,4.0,4,10.0,1,4,0
42,0.0999470259844338,13,5178,4.0,2,4.0,0,4,1
37,0.1821348528273183,10,0,4.0,2,4.0,0,2,1
30,0.08761902174651255,13,0,7.0,2,10.0,0,1,1
23,0.07469811602667717,13,0,4.0,4,1.0,3,4,0
32,0.13089607584792384,12,0,4.0,4,12.0,1,2,1
40,0.07435853900381685,11,0,4.0,2,3.0,0,1,1
34,0.15838008177014712,4,0,4.0,2,14.0,0,0,1
25,0.11170114505372108,9,0,6.0,4,5.0,3,4,1
32,0.1185388679860366,9,0,4.0,4,7.0,4,4,1
38,0.011275315467054238,7,0,4.0,2,12.0,0,4,1
43,0.19008842585675284,14,0,6.0,0,4.0,4,4,0
40,0.12308920009236496,16,0,4.0,2,10.0,0,4,1
54,0.19686027084663343,9,0,4.0,5,8.0,4,2,0
35,0.04384618519172519,5,0,1.0,2,5.0,0,2,1
43,0.07114274459732957,7,0,4.0,2,14.0,0,4,1
59,0.06569457084255852,9,0,4.0,0,13.0,4,4,0
56,0.13893182651689057,13,0,2.0,2,13.0,0,4,1
19,0.10595414351883295,9,0,4.0,4,3.0,3,4,1
54,0.11404762228168594,10,0,4.0,2,7.0,0,1,1
39,0.24108270737968787,9,0,4.0,0,4.0,1,4,1
49,0.12298189375314109,9,0,4.0,2,3.0,0,4,1
23,0.12117738145366133,12,0,2.0,4,11.0,1,4,1
20,0.17232175602070063,10,0,4.0,4,12.0,3,2,1
45,0.2544484589994703,13,0,4.0,0,4.0,3,4,1
30,0.03237255674332052,10,0,1.0,2,1.0,3,4,1
22,0.20322122763885306,10,0,7.0,2,8.0,0,2,1
48,0.15628760815528178,7,0,4.0,4,7.0,4,4,1
21,0.12558577036443405,10,0,4.0,4,7.0,3,4,1
19,0.36117819643851623,9,0,4.0,1,1.0,5,4,0
31,0.04881012211189742,10,0,4.0,2,12.0,0,4,1
48,0.17195637114410292,12,0,6.0,2,10.0,0,4,1
31,0.33658195351869713,5,0,4.0,2,7.0,0,4,1
53,0.051765800518873695,13,0,6.0,2,10.0,0,4,1
24,0.10914141345539996,13,0,4.0,2,13.0,0,4,1
49,0.055930373127232716,9,0,4.0,5,1.0,4,4,0
25,0.18859768272639602,9,0,4.0,4,6.0,1,4,1
57,0.22113934882710098,13,0,1.0,2,10.0,0,2,1
53,0.08969994974260062,9,0,4.0,2,7.0,0,4,1
44,0.07882873093275017,14,0,4.0,0,4.0,4,4,0
41,0.060660681055677054,11,0,7.0,2,3.0,0,4,1
29,0.1760238247239239,11,0,4.0,4,10.0,1,4,1
25,0.0135762893739558,10,0,4.0,2,4.0,5,3,0
